test_ibs,mean_ibs,std_ibs,test_cindex,mean_cindex,std_cindex,mean_bias,std_bias,mean_mse,std_mse,best_params,sample_size,method,kernel
"[np.float64(0.12263810350695917), np.float64(0.05083613717568339), np.float64(0.09093144561305304), np.float64(0.12988784382844046), np.float64(0.17456386455960607)]",0.1137714789367484,0.0412712799974002,"[np.float64(0.6746146182741718), np.float64(0.6981162878811333), np.float64(0.6917298911879131), np.float64(0.6020163040920053), np.float64(0.819977325192442)]",0.6972908853255332,0.0702495941468743,-0.2248277263699109,0.0555246805927725,0.133941654853851,0.0486835505873079,"[{'lambda_reg': 0.031125484431137194, 'K_bin': 111}, {'lambda_reg': 0.00017989253097085915, 'K_bin': 35}, {'lambda_reg': 0.00016472555086711202, 'K_bin': 57}, {'lambda_reg': 0.00029512420300048384, 'K_bin': 109}, {'lambda_reg': 0.00017522284364619657, 'K_bin': 74}]",300,1,linear
"[np.float64(0.17431922006218575), np.float64(0.23977689183297266), np.float64(0.15745642536217874), np.float64(0.1354544336230442), np.float64(0.1191259079082802)]",0.1652265757577323,0.0417431504991864,"[np.float64(0.6610845457265165), np.float64(0.8230761821170117), np.float64(0.8016625835318237), np.float64(0.800660479113863), np.float64(0.8164665971288635)]",0.7805900775236156,0.0603666089855541,-0.1879259126602086,0.2241493143518758,0.1804159133735513,0.0922671476388673,"[{'lambda_reg': 0.0001284340778936284, 'K_bin': 784, 'gamma': 0.005738472707243725}, {'lambda_reg': 0.000309661744748255, 'K_bin': 656, 'gamma': 0.0021416799021945943}, {'lambda_reg': 2.0316272429597985e-05, 'K_bin': 55, 'gamma': 0.0013945304549642485}, {'lambda_reg': 0.00027778184121336644, 'K_bin': 62, 'gamma': 0.0033833778862190304}, {'lambda_reg': 5.832228641054447e-05, 'K_bin': 532, 'gamma': 0.0014454007112727776}]",300,2,exponential
"[np.float64(0.16661960183272817), np.float64(0.18347741702420134), np.float64(0.1661907820889422), np.float64(0.11060763391787426), np.float64(0.1355096444976669)]",0.1524810158722825,0.0260385934707769,"[np.float64(0.6752480591875194), np.float64(0.832105479624436), np.float64(0.8066423591732393), np.float64(0.8146207078893657), np.float64(0.8235433587032793)]",0.790431992915568,0.0582207017033645,0.0194438634072311,0.0753940664374475,0.0741122573976208,0.0123658821283989,"[{'lambda_reg': 1.0435358591973123e-05, 'K_bin': 178, 'gamma': 0.08097952081336811}, {'lambda_reg': 0.00020265602276189743, 'K_bin': 58, 'gamma': 0.05449512416849542}, {'lambda_reg': 8.104563802681975e-05, 'K_bin': 117, 'gamma': 0.06964974940042344}, {'lambda_reg': 5.343063092021636e-05, 'K_bin': 32, 'gamma': 0.0803347916580166}, {'lambda_reg': 0.017513891895732995, 'K_bin': 169, 'gamma': 0.2501482635715466}]",300,2,cauchy
"[np.float64(0.1582258142915829), np.float64(0.2339687664598957), np.float64(0.2039929687407063), np.float64(0.1376759667044118), np.float64(0.17002281369115224)]",0.1807772659775497,0.0342060017964922,"[np.float64(0.6881735527012723), np.float64(0.8012733900433925), np.float64(0.732145579241251), np.float64(0.7629682222494046), np.float64(0.7750506488216243)]",0.7519222786113889,0.0388522443937282,-0.1368477851835821,0.1918968753208368,0.1532284818442108,0.108644400599841,"[{'lambda_reg': 0.00018898273729753534, 'K_bin': 184, 'gamma': 0.31461496146923756, 'coef0': 2.9866164248667637}, {'lambda_reg': 9.35099961141183e-05, 'K_bin': 138, 'gamma': 0.08652526283907107, 'coef0': -1.2230448750856517}, {'lambda_reg': 2.9940676978913105e-05, 'K_bin': 151, 'gamma': 0.6354394689872672, 'coef0': 4.1463537688376295}, {'lambda_reg': 0.001949415607590536, 'K_bin': 881, 'gamma': 0.17365999265527252, 'coef0': 1.6935739186177834}, {'lambda_reg': 0.0011391884383407714, 'K_bin': 442, 'gamma': 0.2682458988273951, 'coef0': -0.8760647526864815}]",300,2,sigmoid
"[np.float64(0.16915522419637882), np.float64(0.22677821277232627), np.float64(0.2543083270592293), np.float64(0.11623953995151193), np.float64(0.13343291249183548)]",0.1799828432942563,0.0530309838784278,"[np.float64(0.6892218381814601), np.float64(0.7884708203982472), np.float64(0.6564460674011117), np.float64(0.7730096424781981), np.float64(0.842238381955035)]",0.7498773500828104,0.0677696315742068,-0.2468176651993666,0.0989704168424515,0.160871990198615,0.0740892182670429,"[{'lambda_reg': 0.0004449012899291154, 'K_bin': 452, 'gamma': 0.07380896816308269, 'degree': 6, 'coef0': 0.2529833257023306}, {'lambda_reg': 0.00030198049483628705, 'K_bin': 519, 'gamma': 0.10634435570762146, 'degree': 5, 'coef0': 0.5672532463672975}, {'lambda_reg': 1.6752434265986633e-05, 'K_bin': 147, 'gamma': 0.5728826184618173, 'degree': 4, 'coef0': 4.931371163264086}, {'lambda_reg': 0.0002193270030640091, 'K_bin': 293, 'gamma': 0.13608853217870817, 'degree': 3, 'coef0': 1.1732380585294182}, {'lambda_reg': 0.00908386874817546, 'K_bin': 124, 'gamma': 0.1275412618408451, 'degree': 5, 'coef0': 0.4759605062830452}]",300,2,polynomial
"[np.float64(0.16152319333591691), np.float64(0.12972065815192477), np.float64(0.16052879055522748), np.float64(0.2290799410398006), np.float64(0.18506531810593957)]",0.1731835802377618,0.0330173068754228,"[np.float64(0.6550077936787642), np.float64(0.6417762163408138), np.float64(0.5597475474863484), np.float64(0.6895023958047731), np.float64(0.6653332636810776)]",0.6422734433983553,0.0441254204847261,-0.2052743930897757,0.0393545705264886,0.1353789542867211,0.0414665537980518,"[{'lambda_reg': 3.3935593472861274e-05, 'K_bin': 993}, {'lambda_reg': 0.24852207860022124, 'K_bin': 522}, {'lambda_reg': 0.0002414262327197854, 'K_bin': 32}, {'lambda_reg': 0.007774339275615493, 'K_bin': 5}, {'lambda_reg': 0.6642730696080471, 'K_bin': 359}]",300,3,linear
"[np.float64(0.11783310167961837), np.float64(0.11328460615292747), np.float64(0.16907809915628608), np.float64(0.1605701504095794), np.float64(0.16247916649924887)]",0.144649024779532,0.0239624554562478,"[np.float64(0.73195598616843), np.float64(0.6933187860002218), np.float64(0.549464704135385), np.float64(0.7382648498699343), np.float64(0.7457041581790131)]",0.6917416968705968,0.0734013214201082,0.000604434594006,0.0201964080263923,0.032528029602786,0.0202850276882245,"[{'lambda_reg': 0.01690171491960571, 'K_bin': 148, 'gamma': 0.011312380337536954}, {'lambda_reg': 0.0018294830006458142, 'K_bin': 102, 'gamma': 0.02992342843859956}, {'lambda_reg': 0.0002993516543369324, 'K_bin': 162, 'gamma': 0.08102144628223222}, {'lambda_reg': 0.0008606263732829492, 'K_bin': 342, 'gamma': 0.0034602166720375848}, {'lambda_reg': 0.0006096060252847637, 'K_bin': 101, 'gamma': 0.008350891596010842}]",300,3,rbf
"[np.float64(0.10845130921967412), np.float64(0.10436120056707716), np.float64(0.1069443868327149), np.float64(0.1562229432686632), np.float64(0.14358028453081956)]",0.1239120248837897,0.0216333311616995,"[np.float64(0.7661516765278025), np.float64(0.7052859465375507), np.float64(0.6340651775272358), np.float64(0.7344062191058565), np.float64(0.7529252766948111)]",0.7185668592786513,0.0469310512598388,-0.1257807800807738,0.1123003119806615,0.094612128580112,0.0717017656515052,"[{'lambda_reg': 0.06418565323305593, 'K_bin': 52, 'gamma': 0.006942686589823775}, {'lambda_reg': 0.015422739692667144, 'K_bin': 170, 'gamma': 0.005910983419721313}, {'lambda_reg': 0.002205174100715216, 'K_bin': 600, 'gamma': 0.0014581085726465479}, {'lambda_reg': 0.01686122307383653, 'K_bin': 992, 'gamma': 0.010842222428862127}, {'lambda_reg': 0.0025422056321843037, 'K_bin': 413, 'gamma': 0.0023568205017040975}]",300,3,laplacian
"[np.float64(0.11582213161652674), np.float64(0.12040732009438047), np.float64(0.1222298229550613), np.float64(0.1335611100794963), np.float64(0.13489978706473207)]",0.1253840343620393,0.0075307481089769,"[np.float64(0.7483811402775039), np.float64(0.6861954286847616), np.float64(0.5841702912769975), np.float64(0.753236006639741), np.float64(0.7227426414889894)]",0.6989451016735987,0.0621185293435906,-0.0921396894736797,0.0803515531182986,0.0588513360165113,0.0432712732463732,"[{'lambda_reg': 0.009080326582719124, 'K_bin': 74, 'gamma': 0.0014285773329167784}, {'lambda_reg': 0.0002200718411773191, 'K_bin': 391, 'gamma': 0.001876952279513973}, {'lambda_reg': 0.016386449483352456, 'K_bin': 747, 'gamma': 0.014696864548553663}, {'lambda_reg': 0.0014243122821028919, 'K_bin': 63, 'gamma': 0.005018409427337682}, {'lambda_reg': 2.0922475991199808e-05, 'K_bin': 896, 'gamma': 0.013088136575590475}]",300,3,exponential
"[np.float64(0.10951490240551562), np.float64(0.12001355061613762), np.float64(0.14684700251620605), np.float64(0.15354175157947994), np.float64(0.15460640016430302)]",0.1369047214563284,0.0185714996328319,"[np.float64(0.7439387878606786), np.float64(0.6832012825923037), np.float64(0.5410839769944604), np.float64(0.7299587957133797), np.float64(0.721326250108246)]",0.6839018186538136,0.0741939317250521,-0.1292159353072197,0.0762852783713175,0.0784089879515211,0.0532303647224291,"[{'lambda_reg': 0.0006009412109636431, 'K_bin': 85, 'gamma': 0.08942965338405487}, {'lambda_reg': 0.0007778463845848637, 'K_bin': 742, 'gamma': 0.08196695144277706}, {'lambda_reg': 0.013722243023378905, 'K_bin': 46, 'gamma': 0.5335427995565899}, {'lambda_reg': 1.7954086397545966e-05, 'K_bin': 164, 'gamma': 0.004113518256535511}, {'lambda_reg': 0.013657955371964637, 'K_bin': 219, 'gamma': 0.01459487489373846}]",300,3,cauchy
