kernel,C,A,gamma,mean_cindex,std,dataset
wavelet,0.25,0.125,,0.5447025563299637,0.028640329296951702,veterans
wavelet,0.25,0.25,,0.5158495046205618,0.05115863491554488,veterans
wavelet,0.25,0.5,,0.4656305688912791,0.035640669713525225,veterans
wavelet,0.25,1.0,,0.5247117171298139,0.061473685686486534,veterans
wavelet,0.25,2.0,,0.584876590601918,0.04458228273831008,veterans
wavelet,0.25,4.0,,0.6817170092416439,0.05096793711721009,veterans
wavelet,0.25,8.0,,0.7087078021799856,0.026658894316739234,veterans
wavelet,0.5,0.125,,0.5178388950988089,0.031881783982092314,veterans
wavelet,0.5,0.25,,0.5042327006692152,0.05414840549574917,veterans
wavelet,0.5,0.5,,0.474878961352148,0.06920981010873016,veterans
wavelet,0.5,1.0,,0.5346813481322128,0.02444643671417005,veterans
wavelet,0.5,2.0,,0.6059431241852968,0.04101345783682548,veterans
wavelet,0.5,4.0,,0.6800314567152352,0.019749763011871493,veterans
wavelet,0.5,8.0,,0.7119945811617672,0.025803348532087513,veterans
wavelet,1.0,0.125,,0.5243400664031941,0.03159509913434594,veterans
wavelet,1.0,0.25,,0.474783368161565,0.03872771478877805,veterans
wavelet,1.0,0.5,,0.481281171143179,0.04726067536051265,veterans
wavelet,1.0,1.0,,0.5643315812814282,0.050776888284834266,veterans
wavelet,1.0,2.0,,0.5817479052113304,0.046693423272810355,veterans
wavelet,1.0,4.0,,0.6618994943118639,0.0382747393377355,veterans
wavelet,1.0,8.0,,0.7160175302686909,0.04758554814181786,veterans
wavelet,2.0,0.125,,0.5117699658585971,0.04972842495146029,veterans
wavelet,2.0,0.25,,0.5031377836959267,0.056277054376521994,veterans
wavelet,2.0,0.5,,0.5010967831963098,0.0617417077609516,veterans
wavelet,2.0,1.0,,0.5592174829601142,0.044458677239725665,veterans
wavelet,2.0,2.0,,0.5897197966341448,0.04380592932241296,veterans
wavelet,2.0,4.0,,0.6716709612677515,0.03861159500343926,veterans
wavelet,2.0,8.0,,0.6784061610790975,0.04169027365927252,veterans
wavelet,4.0,0.125,,0.519662039711146,0.034898160931286094,veterans
wavelet,4.0,0.25,,0.4875988371140697,0.04372575341499229,veterans
wavelet,4.0,0.5,,0.48332771195306556,0.04334597579451042,veterans
wavelet,4.0,1.0,,0.5583041195010054,0.043679442885643,veterans
wavelet,4.0,2.0,,0.5737848823272998,0.03548061322324784,veterans
wavelet,4.0,4.0,,0.6826903145441476,0.03143392415433608,veterans
wavelet,4.0,8.0,,0.716336683867623,0.03454690898165425,veterans
linear,0.25,,0.125,0.7134504861022467,0.028644760964974116,veterans
linear,0.25,,0.25,0.7050304732089596,0.03495369479607349,veterans
linear,0.25,,0.5,0.7117356242295219,0.036148907866221755,veterans
linear,0.25,,1.0,0.7247288161951454,0.027477439432379652,veterans
linear,0.25,,2.0,0.6865688169721315,0.03947708741808808,veterans
linear,0.25,,4.0,0.7040623849119698,0.03462893822025156,veterans
linear,0.25,,8.0,0.7109897922427146,0.032130310501658356,veterans
linear,0.5,,0.125,0.7200166351785635,0.04046215147537446,veterans
linear,0.5,,0.25,0.7334880247371361,0.030587341554354806,veterans
linear,0.5,,0.5,0.7050842473988044,0.04192442189607826,veterans
linear,0.5,,1.0,0.6997274555880014,0.03766273247910432,veterans
linear,0.5,,2.0,0.7217249735280473,0.027775183132446004,veterans
linear,0.5,,4.0,0.7130455255708213,0.035626960948650165,veterans
linear,0.5,,8.0,0.7260491026248936,0.032983682065228816,veterans
linear,1.0,,0.125,0.7249298678526225,0.04031014353197035,veterans
linear,1.0,,0.25,0.7108885592884795,0.03401502406627297,veterans
linear,1.0,,0.5,0.6922921807069695,0.03611387298694929,veterans
linear,1.0,,1.0,0.720321663706595,0.030438642780446327,veterans
linear,1.0,,2.0,0.7079148834063023,0.029421728866120447,veterans
linear,1.0,,4.0,0.7270029933348197,0.043661827385455695,veterans
linear,1.0,,8.0,0.7047430027561745,0.04225318411768171,veterans
linear,2.0,,0.125,0.7057545463596884,0.045633600917201526,veterans
linear,2.0,,0.25,0.7401442782272584,0.03587267135617724,veterans
linear,2.0,,0.5,0.6845587406318635,0.037387681488205655,veterans
linear,2.0,,1.0,0.7221961199546005,0.05308278573816802,veterans
linear,2.0,,2.0,0.6954579182746728,0.02808270732851503,veterans
linear,2.0,,4.0,0.7016038325331453,0.03610523224895105,veterans
linear,2.0,,8.0,0.6857081284409213,0.04933996970699662,veterans
linear,4.0,,0.125,0.7127370472978227,0.02891488720657708,veterans
linear,4.0,,0.25,0.7267017492235754,0.03662018991555515,veterans
linear,4.0,,0.5,0.7336178558290994,0.037924854915256316,veterans
linear,4.0,,1.0,0.7243169208866946,0.03603997312995922,veterans
linear,4.0,,2.0,0.7081882676833005,0.043889962538480785,veterans
linear,4.0,,4.0,0.7090680273534571,0.035939342313945744,veterans
linear,4.0,,8.0,0.6975790632822658,0.03096180939528402,veterans
rbf,0.25,,0.125,0.7055359963287796,0.03324221659873234,veterans
rbf,0.25,,0.25,0.6823395358073765,0.04710279626602204,veterans
rbf,0.25,,0.5,0.6434613218854925,0.033097277096357965,veterans
rbf,0.25,,1.0,0.64587265240692,0.029442574110071458,veterans
rbf,0.25,,2.0,0.6102352219764833,0.05690675631005446,veterans
rbf,0.25,,4.0,0.5992474144408944,0.028763981277500673,veterans
rbf,0.25,,8.0,0.5921367458074068,0.033110348156657705,veterans
rbf,0.5,,0.125,0.667844765989771,0.031689653842319414,veterans
rbf,0.5,,0.25,0.6592920872043063,0.03423662463942588,veterans
rbf,0.5,,0.5,0.6298507570279434,0.032701998684022716,veterans
rbf,0.5,,1.0,0.6505807025579023,0.057118326258615106,veterans
rbf,0.5,,2.0,0.6026239856759977,0.03697329724054931,veterans
rbf,0.5,,4.0,0.6289935582041999,0.017479085508982337,veterans
rbf,0.5,,8.0,0.5896259585846628,0.031692571331318996,veterans
rbf,1.0,,0.125,0.7030271576873639,0.047825834210337814,veterans
rbf,1.0,,0.25,0.6813421729010217,0.035389608575201674,veterans
rbf,1.0,,0.5,0.6432716065461492,0.040108959666293874,veterans
rbf,1.0,,1.0,0.6195036601865538,0.047757202017464674,veterans
rbf,1.0,,2.0,0.6255169609647155,0.028640469043816248,veterans
