kernel,C,A,gamma,mean_cindex,std,dataset
wavelet,0.25,0.125,,0.5044953823567098,0.0067784506575136304,cgd
wavelet,0.25,0.25,,0.47890978328805883,0.03744428367455748,cgd
wavelet,0.25,0.5,,0.45802489189131534,0.06400519695502328,cgd
wavelet,0.25,1.0,,0.5047506847048292,0.06776511366339537,cgd
wavelet,0.25,2.0,,0.6181822406969267,0.0545701288970306,cgd
wavelet,0.25,4.0,,0.6913405527440342,0.07081051573409854,cgd
wavelet,0.25,8.0,,0.5995224263884364,0.08199536878463835,cgd
wavelet,0.5,0.125,,0.4979319196137818,0.003200327355080155,cgd
wavelet,0.5,0.25,,0.48965676868960617,0.017947465294378025,cgd
wavelet,0.5,0.5,,0.5232966336607362,0.030518960489253934,cgd
wavelet,0.5,1.0,,0.4924646004211365,0.09581236141566045,cgd
wavelet,0.5,2.0,,0.6561623274436517,0.06604763505792448,cgd
wavelet,0.5,4.0,,0.6513453490868516,0.04788428079078437,cgd
wavelet,0.5,8.0,,0.6030439860027357,0.061123830937095995,cgd
wavelet,1.0,0.125,,0.5039771959553092,0.004546981214436987,cgd
wavelet,1.0,0.25,,0.4818975178799179,0.03331346160160444,cgd
wavelet,1.0,0.5,,0.5148448711557234,0.051549263076814456,cgd
wavelet,1.0,1.0,,0.5768493152203276,0.05696001576711252,cgd
wavelet,1.0,2.0,,0.637318839714488,0.05052491808027212,cgd
wavelet,1.0,4.0,,0.6697402144732723,0.039442059248490896,cgd
wavelet,1.0,8.0,,0.6122920234156706,0.03802549703527899,cgd
wavelet,2.0,0.125,,0.5022593284364711,0.005818230513501702,cgd
wavelet,2.0,0.25,,0.49890908108988424,0.018704407210642746,cgd
wavelet,2.0,0.5,,0.47115908508330195,0.04665222711377478,cgd
wavelet,2.0,1.0,,0.5617512410586862,0.07578377280492371,cgd
wavelet,2.0,2.0,,0.6539810024084274,0.05328353081687066,cgd
wavelet,2.0,4.0,,0.642820547881423,0.04532308656596561,cgd
wavelet,2.0,8.0,,0.6157263820573725,0.06744013050320696,cgd
wavelet,4.0,0.125,,0.5070554842055216,0.008028064114831432,cgd
wavelet,4.0,0.25,,0.5028266487933983,0.04899145741113601,cgd
wavelet,4.0,0.5,,0.5317183537199787,0.06895868557603943,cgd
wavelet,4.0,1.0,,0.5632270355024586,0.02372389706174347,cgd
wavelet,4.0,2.0,,0.6359193016193921,0.06980818016035634,cgd
wavelet,4.0,4.0,,0.6905212925914457,0.06411100768246723,cgd
wavelet,4.0,8.0,,0.6282759787797195,0.041530399380075814,cgd
linear,0.25,,0.125,0.8915310512214726,0.026451800478941793,cgd
linear,0.25,,0.25,0.9151077292787944,0.017249235738450133,cgd
linear,0.25,,0.5,0.8938432002939191,0.02348771198280817,cgd
linear,0.25,,1.0,0.9159496767658274,0.027725405207439737,cgd
linear,0.25,,2.0,0.9053906945963431,0.02692884467310711,cgd
linear,0.25,,4.0,0.9159157145894076,0.025412721309948323,cgd
linear,0.25,,8.0,0.9159912087923827,0.018361824706567546,cgd
linear,0.5,,0.125,0.9223442984124357,0.01759208253879331,cgd
linear,0.5,,0.25,0.9220420820631092,0.014601301259303583,cgd
linear,0.5,,0.5,0.9107337585268344,0.019599710046685176,cgd
linear,0.5,,1.0,0.9056592881585542,0.027847484929869794,cgd
linear,0.5,,2.0,0.9020050411470079,0.031189042342156786,cgd
linear,0.5,,4.0,0.9338560352144464,0.015738618838222623,cgd
linear,0.5,,8.0,0.9116912909691635,0.029833070808990607,cgd
linear,1.0,,0.125,0.9444152494101739,0.02008410411194135,cgd
linear,1.0,,0.25,0.9450658944174034,0.02345530683547206,cgd
linear,1.0,,0.5,0.941961778327428,0.019039107278131105,cgd
linear,1.0,,1.0,0.938111697558865,0.014963029041239122,cgd
linear,1.0,,2.0,0.9259802832866286,0.03266857441468652,cgd
linear,1.0,,4.0,0.9347472901318452,0.02306517200351126,cgd
linear,1.0,,8.0,0.9308381273079451,0.02422852540723931,cgd
linear,2.0,,0.125,0.9632635726073945,0.014334109603953942,cgd
linear,2.0,,0.25,0.9525361848641181,0.018883817946001837,cgd
linear,2.0,,0.5,0.9646881215881811,0.01240826313716822,cgd
linear,2.0,,1.0,0.9586707065633316,0.010199415462406419,cgd
linear,2.0,,2.0,0.9570009337869092,0.01695419914271682,cgd
linear,2.0,,4.0,0.9536784552823659,0.016561412663915576,cgd
linear,2.0,,8.0,0.9537508364090848,0.013198012953809941,cgd
linear,4.0,,0.125,0.9789275817476062,0.009480188628129584,cgd
linear,4.0,,0.25,0.9837610217352069,0.005877292925920731,cgd
linear,4.0,,0.5,0.9800058162954853,0.0077748267523605604,cgd
linear,4.0,,1.0,0.9827758782798736,0.005601667395187874,cgd
linear,4.0,,2.0,0.9837880820518377,0.009329399305575565,cgd
linear,4.0,,4.0,0.9813133828618132,0.006870940518234399,cgd
linear,4.0,,8.0,0.9783959534882278,0.010176816381895347,cgd
rbf,0.25,,0.125,0.6535713401752854,0.07376946347737141,cgd
rbf,0.25,,0.25,0.6852531417817409,0.05268570781975925,cgd
rbf,0.25,,0.5,0.6944422780896484,0.043636306117705526,cgd
rbf,0.25,,1.0,0.6659847412364339,0.04240205626086581,cgd
rbf,0.25,,2.0,0.6573013626506115,0.040305258122903496,cgd
rbf,0.25,,4.0,0.6365250617214512,0.04147625231677054,cgd
rbf,0.25,,8.0,0.5851950572206746,0.033904861505328655,cgd
rbf,0.5,,0.125,0.6599530585324022,0.04122055736525725,cgd
rbf,0.5,,0.25,0.6725901977912809,0.061659428064861334,cgd
rbf,0.5,,0.5,0.680133165438001,0.07073254542251896,cgd
rbf,0.5,,1.0,0.6686183103324689,0.06334043752162254,cgd
rbf,0.5,,2.0,0.6600351620944969,0.031029491246629487,cgd
rbf,0.5,,4.0,0.6313877239566622,0.0315139932128321,cgd
rbf,0.5,,8.0,0.5739763500681632,0.03773880126838821,cgd
rbf,1.0,,0.125,0.6574830749099452,0.03715068365247389,cgd
rbf,1.0,,0.25,0.6680416633120642,0.04408455700457234,cgd
rbf,1.0,,0.5,0.6673408699334091,0.04817017018031469,cgd
rbf,1.0,,1.0,0.675729840262103,0.03915697740894804,cgd
rbf,1.0,,2.0,0.6732166364553358,0.05096735014410425,cgd
rbf,1.0,,4.0,0.6646648999551925,0.047197466821975044,cgd
rbf,1.0,,8.0,0.5714816845670401,0.043533497303514836,cgd
rbf,2.0,,0.125,0.6648551317454403,0.06986419934910885,cgd
rbf,2.0,,0.25,0.6794491161872753,0.058937733907527774,cgd
rbf,2.0,,0.5,0.6520046017615936,0.06428324950587375,cgd
rbf,2.0,,1.0,0.6693227551047077,0.06340883717057702,cgd
rbf,2.0,,2.0,0.6620845727910678,0.05794512084962269,cgd
rbf,2.0,,4.0,0.642323559189163,0.04697521004158139,cgd
rbf,2.0,,8.0,0.6009407025254683,0.03498532213022065,cgd
rbf,4.0,,0.125,0.697480660152985,0.04783182521757029,cgd
rbf,4.0,,0.25,0.6739992253370939,0.0434136959935768,cgd
rbf,4.0,,0.5,0.6596241846845181,0.039274308950302046,cgd
rbf,4.0,,1.0,0.6704888951451528,0.051166283465381095,cgd
rbf,4.0,,2.0,0.654806672666702,0.06825908504742513,cgd
rbf,4.0,,4.0,0.6229217040416578,0.03770399261053347,cgd
rbf,4.0,,8.0,0.5717385157158441,0.03330273078136325,cgd
exponential,0.25,,0.125,0.7582043331729913,0.0583940105647783,cgd
exponential,0.25,,0.25,0.6609096824299089,0.06468187666733331,cgd
exponential,0.25,,0.5,0.6219980429558909,0.04641696459907623,cgd
exponential,0.25,,1.0,0.5960539988647887,0.06416180332492342,cgd
exponential,0.25,,2.0,0.6617192592083534,0.024119733807098323,cgd
exponential,0.25,,4.0,0.6768776055811612,0.047262138152484125,cgd
exponential,0.25,,8.0,0.6877763086841651,0.04556205380352263,cgd
exponential,0.5,,0.125,0.7922659701322594,0.0765755037030911,cgd
exponential,0.5,,0.25,0.6869295728335719,0.051682140414986574,cgd
exponential,0.5,,0.5,0.6668544897727836,0.05990490879105364,cgd
exponential,0.5,,1.0,0.6190700522047978,0.07227028589583587,cgd
exponential,0.5,,2.0,0.6859007989657917,0.09746244691068588,cgd
exponential,0.5,,4.0,0.6916348017991396,0.024676355499792725,cgd
exponential,0.5,,8.0,0.6305814755108178,0.03358103130437543,cgd
exponential,1.0,,0.125,0.7567518063747531,0.05332941476085612,cgd
exponential,1.0,,0.25,0.6707139878349251,0.055505187408193164,cgd
exponential,1.0,,0.5,0.6327021284157943,0.04916047931808337,cgd
exponential,1.0,,1.0,0.6742797344107363,0.07198050936597257,cgd
exponential,1.0,,2.0,0.6772556602016667,0.0579700976414854,cgd
exponential,1.0,,4.0,0.6381417790848289,0.07171032358946511,cgd
exponential,1.0,,8.0,0.6664610745234276,0.04769821043168471,cgd
exponential,2.0,,0.125,0.7780741528322698,0.03721916228316753,cgd
exponential,2.0,,0.25,0.7079294417765728,0.07869460760605179,cgd
exponential,2.0,,0.5,0.6792316554009461,0.07551940680476571,cgd
exponential,2.0,,1.0,0.6118262153020886,0.056266258773839395,cgd
exponential,2.0,,2.0,0.7013161841470165,0.05740182907981855,cgd
exponential,2.0,,4.0,0.6588211305591015,0.0633649136523919,cgd
exponential,2.0,,8.0,0.6478761847602083,0.025988149887325517,cgd
exponential,4.0,,0.125,0.7377204376926368,0.033898400478259705,cgd
exponential,4.0,,0.25,0.7015814599690812,0.058860209608526365,cgd
exponential,4.0,,0.5,0.655473227456404,0.08827015032499658,cgd
exponential,4.0,,1.0,0.6479181018270944,0.05518686075500025,cgd
exponential,4.0,,2.0,0.6638182195459225,0.07073107403330525,cgd
exponential,4.0,,4.0,0.6447831233905389,0.057911524146125194,cgd
exponential,4.0,,8.0,0.6607987981886295,0.024123415852486296,cgd
poly,0.25,,0.125,0.7543562610349935,0.04946324627751236,cgd
poly,0.25,,0.25,0.8054803296781765,0.053297173325526914,cgd
