kernel,mean_cindex,std_cindex,n,prop_cens
CoxPH,0.7265771089916734,0.09187225899192782,50,0.1
CoxPH,0.7361159168962547,0.11032395470102668,50,0.25
CoxPH,0.7818431204129791,0.11532721127334843,50,0.5
CoxPH,0.7495884486494754,0.053291596992175526,100,0.1
CoxPH,0.7548440553739156,0.06478469321723451,100,0.25
CoxPH,0.792578867737125,0.07534594714280947,100,0.5
CoxPH,0.7427246584800532,0.03621457564965439,300,0.1
CoxPH,0.7656838436008059,0.04425326759729781,300,0.25
CoxPH,0.8059568181286494,0.035761744801231336,300,0.5
CoxPH,0.9334754113818658,0.0715842822892602,300,0.95
