kernel,mean_cindex,std_cindex,n,prop_cens
wavelet,0.7578279272565382,0.05496799252906022,100,0.1
cauchy,0.7706070923898758,0.04620134989014075,100,0.1
poly,0.7760932116134946,0.06317810556312134,100,0.1
rbf,0.7687280730554177,0.05048394702294042,100,0.1
exponential,0.7724792224054374,0.049948378349222534,100,0.1
laplacian,0.7709385560259965,0.050166979051494004,100,0.1
linear,0.7303288972971722,0.06152562855967873,100,0.1
wavelet,0.768868814273511,0.07596537935779428,100,0.25
cauchy,0.7732662383410723,0.05375284290952642,100,0.25
poly,0.7829624628532085,0.06285167721732263,100,0.25
rbf,0.7818719178467609,0.05628049558042526,100,0.25
exponential,0.7883903528948898,0.05114056988503667,100,0.25
laplacian,0.7842566346292863,0.05954213828840319,100,0.25
linear,0.7497685356440303,0.0642838916861361,100,0.25
wavelet,0.783039046539196,0.07902824652959538,100,0.5
cauchy,0.7991351137444016,0.06312878388680711,100,0.5
poly,0.8127176734488211,0.0669114967504794,100,0.5
rbf,0.7830495507173251,0.07327377308915019,100,0.5
exponential,0.7908079055430933,0.07960208143174477,100,0.5
laplacian,0.7953291296619773,0.07470912024258496,100,0.5
linear,0.7824450763598823,0.07389612448347095,100,0.5
