kernel,C,A,gamma,mean_cindex,std,prop_censor
wavelet,0.25,0.125,,0.48462154164552856,0.09185867883015936,0.06
wavelet,0.25,0.25,,0.5165610362795471,0.10301100625927659,0.06
wavelet,0.25,0.5,,0.4241321362265876,0.11817246147642854,0.06
wavelet,0.25,1.0,,0.4723515428350867,0.10699509177335993,0.06
wavelet,0.25,2.0,,0.6303211561497892,0.13369333428731597,0.06
wavelet,0.25,4.0,,0.6963693327872152,0.11328326095059707,0.06
wavelet,0.25,8.0,,0.6849283298110427,0.10245961186945365,0.06
wavelet,0.5,0.125,,0.47984486814200183,0.10238866102751715,0.06
wavelet,0.5,0.25,,0.5084089069814058,0.11808363009001253,0.06
wavelet,0.5,0.5,,0.4449007800544966,0.1253931583923096,0.06
wavelet,0.5,1.0,,0.48402053106947435,0.11864163388403219,0.06
wavelet,0.5,2.0,,0.6532243298312009,0.1143707428198596,0.06
wavelet,0.5,4.0,,0.6986960890534796,0.12363962049216413,0.06
wavelet,0.5,8.0,,0.684896970282366,0.10210994123620858,0.06
wavelet,1.0,0.125,,0.4801632278185147,0.10645025057094519,0.06
wavelet,1.0,0.25,,0.47663931459933556,0.119763773063993,0.06
wavelet,1.0,0.5,,0.43858948209344073,0.10435740666149619,0.06
wavelet,1.0,1.0,,0.4751226081906454,0.11177068835764578,0.06
wavelet,1.0,2.0,,0.6485338019995811,0.13398535939387932,0.06
wavelet,1.0,4.0,,0.7126369505903958,0.12082936065195923,0.06
wavelet,1.0,8.0,,0.6628319862672207,0.11658314652531138,0.06
wavelet,2.0,0.125,,0.49245929466943006,0.09940944538747504,0.06
wavelet,2.0,0.25,,0.4595391882104242,0.09978907026734281,0.06
wavelet,2.0,0.5,,0.4413712265495742,0.10822463514719208,0.06
wavelet,2.0,1.0,,0.4708917049274964,0.10858256713316242,0.06
wavelet,2.0,2.0,,0.7011747813899553,0.11986133164391558,0.06
wavelet,2.0,4.0,,0.7284331327973937,0.11931348277840047,0.06
wavelet,2.0,8.0,,0.6738937414509742,0.11940751345382775,0.06
wavelet,4.0,0.125,,0.47687746476552667,0.10479544348949063,0.06
wavelet,4.0,0.25,,0.47091658350737065,0.10661374841510579,0.06
wavelet,4.0,0.5,,0.42319058115459746,0.13006813006388562,0.06
wavelet,4.0,1.0,,0.48660417580758003,0.11876305147430553,0.06
wavelet,4.0,2.0,,0.6914419240367802,0.12438396754682043,0.06
wavelet,4.0,4.0,,0.7044782453995184,0.12070376850062484,0.06
wavelet,4.0,8.0,,0.6603145345937951,0.1274638585854871,0.06
linear,0.25,,0.125,0.644293312839512,0.10615081238627323,0.06
linear,0.25,,0.25,0.6550988529162971,0.10428631372620469,0.06
linear,0.25,,0.5,0.6500703047525007,0.12042695857678588,0.06
linear,0.25,,1.0,0.6479909590112715,0.10696997569044527,0.06
linear,0.25,,2.0,0.6588169055602151,0.1051847517727117,0.06
linear,0.25,,4.0,0.6591440639558483,0.11441404786853294,0.06
linear,0.25,,8.0,0.6592621708810938,0.1137618509157142,0.06
linear,0.5,,0.125,0.6333353840609288,0.1320209984776636,0.06
linear,0.5,,0.25,0.6404514543269696,0.14030864738809884,0.06
linear,0.5,,0.5,0.6250627735369606,0.13208462463713097,0.06
linear,0.5,,1.0,0.6411711986712642,0.1149346971233159,0.06
linear,0.5,,2.0,0.6377592616984097,0.10430413411741533,0.06
linear,0.5,,4.0,0.6425000068925673,0.12371412195453538,0.06
linear,0.5,,8.0,0.648713934476612,0.10802688185264502,0.06
linear,1.0,,0.125,0.6466768584190681,0.09712401566934965,0.06
linear,1.0,,0.25,0.6353352109913977,0.12615801313347325,0.06
linear,1.0,,0.5,0.618446591101469,0.12212394741945878,0.06
linear,1.0,,1.0,0.6142898848790199,0.13000354101152245,0.06
linear,1.0,,2.0,0.6157445950706436,0.1208269492842892,0.06
linear,1.0,,4.0,0.6135698413453763,0.12585778311763499,0.06
linear,1.0,,8.0,0.6423926212494638,0.10735554342795947,0.06
linear,2.0,,0.125,0.6038552451823079,0.14116026166807458,0.06
linear,2.0,,0.25,0.6163180677131472,0.12376909091173806,0.06
linear,2.0,,0.5,0.607968090387805,0.12975253863737213,0.06
linear,2.0,,1.0,0.6251479550933192,0.11871532995231214,0.06
linear,2.0,,2.0,0.613289128466973,0.12511183535761794,0.06
linear,2.0,,4.0,0.6222823351101994,0.1150920658797643,0.06
linear,2.0,,8.0,0.6264472203550919,0.12171895733702756,0.06
linear,4.0,,0.125,0.6235746705801342,0.13255138664172214,0.06
linear,4.0,,0.25,0.6448187067863179,0.10450457853854304,0.06
linear,4.0,,0.5,0.6189491142059682,0.11029193281731713,0.06
linear,4.0,,1.0,0.6003236903956986,0.1072466075202224,0.06
linear,4.0,,2.0,0.6109222924886406,0.12613657425192,0.06
linear,4.0,,4.0,0.6171183612420935,0.12292248101380684,0.06
linear,4.0,,8.0,0.6319644209455111,0.11685438766891372,0.06
rbf,0.25,,0.125,0.6762612030832151,0.12492337621926826,0.06
rbf,0.25,,0.25,0.6615038491211364,0.10674944297825635,0.06
rbf,0.25,,0.5,0.6317103400972077,0.11737025614009924,0.06
rbf,0.25,,1.0,0.5910588853264702,0.09890009306176496,0.06
rbf,0.25,,2.0,0.5539149478681148,0.09665796958062857,0.06
rbf,0.25,,4.0,0.5388173186421567,0.10696092932093378,0.06
rbf,0.25,,8.0,0.5436164678161013,0.09773983172621019,0.06
rbf,0.5,,0.125,0.6874531823313476,0.1188104676713513,0.06
rbf,0.5,,0.25,0.6780367356839251,0.11995530488167672,0.06
rbf,0.5,,0.5,0.6417974099337378,0.1101072159427745,0.06
rbf,0.5,,1.0,0.5875831001898856,0.11063928864491072,0.06
rbf,0.5,,2.0,0.53423508134504,0.11784794278195239,0.06
rbf,0.5,,4.0,0.5393743834397952,0.09519773787739232,0.06
rbf,0.5,,8.0,0.519538938520094,0.10105429824148407,0.06
rbf,1.0,,0.125,0.6830014126930308,0.1289659038159873,0.06
rbf,1.0,,0.25,0.6861489558374332,0.12390808305964117,0.06
rbf,1.0,,0.5,0.6532122643509152,0.11325181941264305,0.06
rbf,1.0,,1.0,0.5945507248691098,0.1141681808839163,0.06
rbf,1.0,,2.0,0.545215200159681,0.10411320990676663,0.06
rbf,1.0,,4.0,0.5284163871813261,0.09697916904645655,0.06
rbf,1.0,,8.0,0.5215744962831594,0.08787276742552655,0.06
rbf,2.0,,0.125,0.689678309688051,0.12481006329324021,0.06
rbf,2.0,,0.25,0.7046511763771137,0.12645304135945576,0.06
rbf,2.0,,0.5,0.6833744062714243,0.10011827194680088,0.06
rbf,2.0,,1.0,0.6240568875677821,0.11286404552146838,0.06
rbf,2.0,,2.0,0.5813129983243508,0.11146487347564728,0.06
rbf,2.0,,4.0,0.5497554851380672,0.10521766250445526,0.06
rbf,2.0,,8.0,0.5512274546721644,0.09724837683427663,0.06
rbf,4.0,,0.125,0.7124357941191107,0.10923037758986039,0.06
rbf,4.0,,0.25,0.7334785354597565,0.10551751148794881,0.06
rbf,4.0,,0.5,0.7093970951983448,0.11389882399557066,0.06
rbf,4.0,,1.0,0.6239764829205017,0.10701346969863866,0.06
rbf,4.0,,2.0,0.5923059838625173,0.10547989123914576,0.06
rbf,4.0,,4.0,0.5498097532942459,0.10148568603188526,0.06
rbf,4.0,,8.0,0.5463330442231836,0.0839685816013403,0.06
exponential,0.25,,0.125,0.6963440865408083,0.10802765882168386,0.06
exponential,0.25,,0.25,0.6618183630077238,0.12004895517513567,0.06
exponential,0.25,,0.5,0.6819814340144323,0.10343659503056096,0.06
exponential,0.25,,1.0,0.6345384016551981,0.11978819403913432,0.06
exponential,0.25,,2.0,0.6032664232528215,0.10797969452875454,0.06
exponential,0.25,,4.0,0.5369031182163093,0.11357562133040507,0.06
exponential,0.25,,8.0,0.5213445408070195,0.09861549056513587,0.06
exponential,0.5,,0.125,0.6860734537587575,0.10281606944149951,0.06
exponential,0.5,,0.25,0.6679877143293358,0.11420064706208076,0.06
exponential,0.5,,0.5,0.6770451779457864,0.1265571467619436,0.06
exponential,0.5,,1.0,0.6537865973545854,0.10782193921229928,0.06
exponential,0.5,,2.0,0.5838852197770604,0.11323877704310362,0.06
exponential,0.5,,4.0,0.5556425748780653,0.10637503931619825,0.06
exponential,0.5,,8.0,0.5288148992094225,0.10452058565068649,0.06
exponential,1.0,,0.125,0.6850961211464057,0.10861196042542937,0.06
exponential,1.0,,0.25,0.684259699954745,0.13122007847935224,0.06
exponential,1.0,,0.5,0.6795938001629007,0.1027883732596686,0.06
exponential,1.0,,1.0,0.6603762358762562,0.10685316882793017,0.06
